MicFileName,ALFileName,VocNum,CallType,IndGood
F3_D_200123_0958_1_Mic.wav,F3_D_200123_0958_1_AL.wav,1,BB,1
M3_H_200123_0958_2_Mic.wav,M3_H_200123_0958_2_AL.wav,2,Pi,2
M3_H_200123_0958_3_Mic.wav,M3_H_200123_0958_3_AL.wav,3,Pi,4
M3_H_200123_0958_4_Mic.wav,M3_H_200123_0958_4_AL.wav,4,Pi,6
M3_H_200123_0958_5_Mic.wav,M3_H_200123_0958_5_AL.wav,5,Ch,7
F1_D_200123_0958_6_Mic.wav,F1_D_200123_0958_6_AL.wav,6,Ch,8
M3_H_200123_0958_7_Mic.wav,M3_H_200123_0958_7_AL.wav,7,Pi,9
M3_H_200123_0958_8_Mic.wav,M3_H_200123_0958_8_AL.wav,8,Un,10
M3_H_200123_0958_9_Mic.wav,M3_H_200123_0958_9_AL.wav,9,Pi,11
M3_H_200123_0958_10_Mic.wav,M3_H_200123_0958_10_AL.wav,10,Pi,12
F1_D_200123_0958_11_Mic.wav,F1_D_200123_0958_11_AL.wav,11,Sq,13
M3_H_200123_0958_12_Mic.wav,M3_H_200123_0958_12_AL.wav,12,Un,14
M3_H_200123_0958_13_Mic.wav,M3_H_200123_0958_13_AL.wav,13,Pi,15
F1_D_200123_0958_14_Mic.wav,F1_D_200123_0958_14_AL.wav,14,Sq,16
F1_D_200123_0958_15_Mic.wav,F1_D_200123_0958_15_AL.wav,15,Pi,18
M2_D_200123_0958_16_Mic.wav,M2_D_200123_0958_16_AL.wav,16,Pi,19
M3_H_200123_0958_17_Mic.wav,M3_H_200123_0958_17_AL.wav,17,Pi,20
F5_H_200123_0958_18_Mic.wav,F5_H_200123_0958_18_AL.wav,18,Bu,21
F5_H_200123_0958_19_Mic.wav,F5_H_200123_0958_19_AL.wav,19,Bu,22
M3_H_200123_0958_20_Mic.wav,M3_H_200123_0958_20_AL.wav,20,Pi,25
M3_H_200123_0958_21_Mic.wav,M3_H_200123_0958_21_AL.wav,21,Pi,27
F5_H_200123_0958_22_Mic.wav,F5_H_200123_0958_22_AL.wav,22,Bu,28
M3_H_200123_0958_23_Mic.wav,M3_H_200123_0958_23_AL.wav,23,Ba,29
F5_H_200123_0958_24_Mic.wav,F5_H_200123_0958_24_AL.wav,24,Bu,30
F5_H_200123_0958_25_Mic.wav,F5_H_200123_0958_25_AL.wav,25,Bu,31
F5_H_200123_0958_26_Mic.wav,F5_H_200123_0958_26_AL.wav,26,Bu,34
F5_H_200123_0958_27_Mic.wav,F5_H_200123_0958_27_AL.wav,27,Bu,39
M3_H_200123_0958_28_Mic.wav,M3_H_200123_0958_28_AL.wav,28,Pi,42
M3_H_200123_0958_29_Mic.wav,M3_H_200123_0958_29_AL.wav,29,Pi,43
M3_H_200123_0958_30_Mic.wav,M3_H_200123_0958_30_AL.wav,30,Pi,44
M2_D_200123_0958_31_Mic.wav,M2_D_200123_0958_31_AL.wav,31,Pi,45
M3_H_200123_0958_32_Mic.wav,M3_H_200123_0958_32_AL.wav,32,Pi,46
F5_H_200123_0958_33_Mic.wav,F5_H_200123_0958_33_AL.wav,33,BB,47
F5_H_200123_0958_34_Mic.wav,F5_H_200123_0958_34_AL.wav,34,Bu,49
F5_H_200123_0958_35_Mic.wav,F5_H_200123_0958_35_AL.wav,35,Bu,50
M3_H_200123_0958_36_Mic.wav,M3_H_200123_0958_36_AL.wav,36,Pi,51
M3_H_200123_0958_37_Mic.wav,M3_H_200123_0958_37_AL.wav,37,Pi,52
F3_D_200123_0958_38_Mic.wav,F3_D_200123_0958_38_AL.wav,38,LT,54
F1_D_200123_0958_39_Mic.wav,F1_D_200123_0958_39_AL.wav,39,Sq,55
F1_D_200123_0958_40_Mic.wav,F1_D_200123_0958_40_AL.wav,40,Sq,57
F1_D_200123_0958_41_Mic.wav,F1_D_200123_0958_41_AL.wav,41,Sq,58
F1_D_200123_0958_42_Mic.wav,F1_D_200123_0958_42_AL.wav,42,Pi,59
F1_D_200123_0958_43_Mic.wav,F1_D_200123_0958_43_AL.wav,43,Pi,60
F3_D_200123_0958_44_Mic.wav,F3_D_200123_0958_44_AL.wav,44,Bu,61
F3_D_200123_0958_45_Mic.wav,F3_D_200123_0958_45_AL.wav,45,Sq,63
M3_H_200123_0958_46_Mic.wav,M3_H_200123_0958_46_AL.wav,46,Pi,65
F1_D_200123_0958_47_Mic.wav,F1_D_200123_0958_47_AL.wav,47,Ra,66
F4_H_200123_0958_48_Mic.wav,F4_H_200123_0958_48_AL.wav,48,LT,67
F6_H_200123_0958_49_Mic.wav,F6_H_200123_0958_49_AL.wav,49,Pa,68
F6_H_200123_0958_50_Mic.wav,F6_H_200123_0958_50_AL.wav,50,Pa,69
F6_H_200123_0958_51_Mic.wav,F6_H_200123_0958_51_AL.wav,51,Pa,70
F6_H_200123_0958_52_Mic.wav,F6_H_200123_0958_52_AL.wav,52,Pa,72
F6_H_200123_0958_53_Mic.wav,F6_H_200123_0958_53_AL.wav,53,Pa,73
F6_H_200123_0958_54_Mic.wav,F6_H_200123_0958_54_AL.wav,54,BB,74
M2_D_200123_0958_55_Mic.wav,M2_D_200123_0958_55_AL.wav,55,Pi,75
M2_D_200123_0958_56_Mic.wav,M2_D_200123_0958_56_AL.wav,56,Pi,77
F4_H_200123_0958_57_Mic.wav,F4_H_200123_0958_57_AL.wav,57,BB,79
F4_H_200123_0958_58_Mic.wav,F4_H_200123_0958_58_AL.wav,58,BB,81
F4_H_200123_0958_59_Mic.wav,F4_H_200123_0958_59_AL.wav,59,Bu,83
F6_H_200123_0958_60_Mic.wav,F6_H_200123_0958_60_AL.wav,60,BB,84
F3_D_200123_1413_61_Mic.wav,F3_D_200123_1413_61_AL.wav,61,Sq,85
F3_D_200123_1413_62_Mic.wav,F3_D_200123_1413_62_AL.wav,62,Pi,90
F3_D_200123_1413_63_Mic.wav,F3_D_200123_1413_63_AL.wav,63,Bu,94
F3_D_200123_1413_64_Mic.wav,F3_D_200123_1413_64_AL.wav,64,Bu,98
F3_D_200123_1413_65_Mic.wav,F3_D_200123_1413_65_AL.wav,65,BB,99
F3_D_200123_1413_66_Mic.wav,F3_D_200123_1413_66_AL.wav,66,BB,101
F3_D_200123_1413_67_Mic.wav,F3_D_200123_1413_67_AL.wav,67,Pi,102
F3_D_200123_1413_68_Mic.wav,F3_D_200123_1413_68_AL.wav,68,BB,103
F3_D_200123_1413_69_Mic.wav,F3_D_200123_1413_69_AL.wav,69,Bu,106
M3_H_200123_1413_70_Mic.wav,M3_H_200123_1413_70_AL.wav,70,Pi,107
F3_D_200123_1413_71_Mic.wav,F3_D_200123_1413_71_AL.wav,71,Pi,108
M3_H_200123_1413_72_Mic.wav,M3_H_200123_1413_72_AL.wav,72,Pi,113
M3_H_200123_1413_73_Mic.wav,M3_H_200123_1413_73_AL.wav,73,Pi,114
F3_D_200123_1413_74_Mic.wav,F3_D_200123_1413_74_AL.wav,74,Pi,118
F5_H_200123_1413_75_Mic.wav,F5_H_200123_1413_75_AL.wav,75,Bu,121
F3_D_200123_1413_76_Mic.wav,F3_D_200123_1413_76_AL.wav,76,Pi,122
M3_H_200123_1413_77_Mic.wav,M3_H_200123_1413_77_AL.wav,77,Pi,124
M3_H_200123_1413_78_Mic.wav,M3_H_200123_1413_78_AL.wav,78,Pi,125
M3_H_200123_1413_79_Mic.wav,M3_H_200123_1413_79_AL.wav,79,Pi,126
M3_H_200123_1413_80_Mic.wav,M3_H_200123_1413_80_AL.wav,80,Pi,127
F3_D_200123_1413_81_Mic.wav,F3_D_200123_1413_81_AL.wav,81,Bu,128
F3_D_200123_1413_82_Mic.wav,F3_D_200123_1413_82_AL.wav,82,Pi,129
F3_D_200123_1413_83_Mic.wav,F3_D_200123_1413_83_AL.wav,83,Pi,132
M3_H_200123_1413_84_Mic.wav,M3_H_200123_1413_84_AL.wav,84,Pi,135
F5_H_200123_1413_85_Mic.wav,F5_H_200123_1413_85_AL.wav,85,BB,138
M3_H_200123_1413_86_Mic.wav,M3_H_200123_1413_86_AL.wav,86,Pi,144
M3_H_200123_1413_87_Mic.wav,M3_H_200123_1413_87_AL.wav,87,Ch,145
F3_D_200123_1413_88_Mic.wav,F3_D_200123_1413_88_AL.wav,88,Pi,148
F3_D_200123_1413_89_Mic.wav,F3_D_200123_1413_89_AL.wav,89,Pi,150
F1_D_200123_1413_90_Mic.wav,F1_D_200123_1413_90_AL.wav,90,Un,151
M3_H_200123_1413_91_Mic.wav,M3_H_200123_1413_91_AL.wav,91,Pi,152
F1_D_200123_1413_92_Mic.wav,F1_D_200123_1413_92_AL.wav,92,Un,153
F1_D_200123_1413_93_Mic.wav,F1_D_200123_1413_93_AL.wav,93,Un,154
M3_H_200123_1413_94_Mic.wav,M3_H_200123_1413_94_AL.wav,94,Pi,155
F1_D_200123_1413_95_Mic.wav,F1_D_200123_1413_95_AL.wav,95,Un,158
F1_D_200123_1413_96_Mic.wav,F1_D_200123_1413_96_AL.wav,96,Un,159
F1_D_200123_1413_97_Mic.wav,F1_D_200123_1413_97_AL.wav,97,Un,160
F1_D_200123_1413_98_Mic.wav,F1_D_200123_1413_98_AL.wav,98,Pi,161
F1_D_200123_1413_99_Mic.wav,F1_D_200123_1413_99_AL.wav,99,Un,162
F1_D_200123_1413_100_Mic.wav,F1_D_200123_1413_100_AL.wav,100,Un,163
F1_D_200123_1413_101_Mic.wav,F1_D_200123_1413_101_AL.wav,101,Pi,164
F1_D_200123_1413_102_Mic.wav,F1_D_200123_1413_102_AL.wav,102,Un,165
F1_D_200123_1413_103_Mic.wav,F1_D_200123_1413_103_AL.wav,103,Un,166
F1_D_200123_1413_104_Mic.wav,F1_D_200123_1413_104_AL.wav,104,Un,167
